Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
1,Victor Wembanyama,C,21.6,SA,46,,,0.476,0.835,3.1,,24.3,11,3.7,1.1,3.8,3.2,0
2,Shai Gilgeous-Alexander,"PG,SG",27.1,OKC,76,,,0.52,0.899,2.1,,32.7,5,6.4,1.7,1,2.4,0
3,Luka Doncic,"PG,SG",26.5,LAL,50,,,0.45,0.782,3.5,,28.2,8.2,7.7,1.8,0.4,3.6,0
4,Nikola Jokic,C,30.5,DEN,70,,,0.577,0.801,2,,29.6,12.7,10.2,1.8,0.6,3.3,0
5,Cade Cunningham,"PG,SG",23.9,DET,70,,,0.469,0.845,2.1,,26.1,6.1,9.1,1,0.8,4.4,0
6,Cooper Flagg,ROOKIE,18.7,DAL,,,,,,,,,,,,,,1
7,Anthony Edwards,"SG,SF",24,MIN,79,,,0.447,0.836,4.1,,27.6,5.7,4.5,1.2,0.6,3.1,0
8,Trae Young,PG,26.9,ATL,76,,,0.411,0.875,2.9,,24.2,3.1,11.6,1.2,0.2,4.7,0
9,Evan Mobley,"PF,C",24.2,CLE,71,,,0.557,0.723,1.2,,18.5,9.3,3.2,0.9,1.6,2,0
10,Chet Holmgren,"PF,C",23.3,OKC,32,,,0.49,0.754,1.4,,15,8,2,0.7,2.2,1.8,0
11,Giannis Antetokounmpo,"PF,C",30.7,MIL,67,,,0.601,0.617,0.2,,30.4,11.9,6.5,0.9,1.2,3.1,0
12,LaMelo Ball,"PG,SG",24,CHA,47,,,0.405,0.844,3.8,,25.2,4.9,7.4,1.1,0.3,3.6,0
13,Jalen Williams,"SG,SF,PF,C",24.3,OKC,69,,,0.484,0.79,1.8,,21.6,5.4,5.1,1.6,0.7,2.2,0
14,Amen Thompson,"PG,SG,SF,PF",22.5,HOU,69,,,0.556,0.684,0.4,,14.1,8.2,3.8,1.4,1.3,2,0
15,Jayson Tatum,"SF,PF",27.5,BOS,72,,,0.452,0.813,3.5,,26.8,8.7,6,1.1,0.5,2.9,0
16,Tyrese Haliburton,"PG,SG",25.5,IND,73,,,0.473,0.852,3,,18.6,3.5,9.2,1.4,0.7,1.6,0
17,Jalen Johnson,"SF,PF",23.7,ATL,36,,,0.499,0.746,1.2,,18.9,10,5,1.6,1,2.9,0
18,Tyrese Maxey,"PG,SG",24.8,PHI,52,,,0.437,0.878,3.1,,26.3,3.3,6.1,1.8,0.4,2.4,0
19,Karl-Anthony Towns,"PF,C",29.8,NY,72,,,0.526,0.829,2,,24.4,12.8,3.1,1,0.7,2.7,0
20,Jaren Jackson Jr.,"PF,C",25.9,MEM,74,,,0.488,0.781,2,,22.2,5.6,2,1.2,1.5,2.1,0
21,Scottie Barnes,"PG,SG,SF,PF",24,TOR,65,,,0.446,0.755,1.2,,19.3,7.7,5.8,1.4,1,2.8,0
22,Devin Booker,"PG,SG",28.8,PHO,75,,,0.461,0.894,2.4,,25.6,4.1,7.1,0.9,0.2,2.9,0
23,Paolo Banchero,"SF,PF",22.8,ORL,46,,,0.453,0.728,1.9,,25.9,7.5,4.8,0.8,0.6,3,0
24,Franz Wagner,"SF,PF",24,ORL,60,,,0.463,0.873,1.7,,24.2,5.7,4.7,1.3,0.4,2.3,0
25,Domantas Sabonis,C,29.3,SAC,70,,,0.589,0.753,0.9,,19.1,13.9,6,0.7,0.4,2.9,0
26,Darius Garland,PG,25.6,CLE,75,,,0.472,0.879,2.8,,20.6,2.9,6.7,1.2,0.1,2.5,0
27,Donovan Mitchell,"PG,SG",28.9,CLE,71,,,0.443,0.824,3.3,,24,4.5,5,1.3,0.2,2.1,0
28,Alperen Sengün,C,23.1,HOU,76,,,0.496,0.691,0.3,,19.1,10.4,4.9,1.1,0.8,2.6,0
29,Anthony Davis,"PF,C",32.4,DAL,51,,,0.517,0.775,0.7,,24.7,11.5,3.5,1.2,2.2,2.2,0
30,De'Aaron Fox,"PG,SG",27.7,SA,62,,,0.464,0.827,1.9,,23.5,4.8,6.3,1.5,0.4,2.8,0
31,Trey Murphy III,"SG,SF,PF",25.2,NO,53,,,0.454,0.887,3,,21.2,5.1,3.5,1.1,0.7,1.9,0
32,Jalen Brunson,PG,29,NY,65,,,0.488,0.821,2.3,,26,2.9,7.3,0.9,0.1,2.5,0
178,Noa Essengue,ALL,18.7,CHI,,,,,,,,,,,,,,1
34,Bam Adebayo,"PF,C",28.1,MIA,78,,,0.485,0.766,1,,18.1,9.6,4.3,1.3,0.7,2.1,0
35,Desmond Bane,"SG,SF",27.1,ORL,69,,,0.484,0.895,2.4,,19.2,6.1,5.3,1.2,0.4,2.4,0
36,Jamal Murray,"PG,SG",28.5,DEN,67,,,0.474,0.886,2.3,,21.4,3.9,6,1.4,0.5,2.1,0
37,Tyler Herro,"PG,SG",25.6,MIA,77,,,0.472,0.878,3.3,,23.9,5.2,5.5,0.9,0.2,2.6,0
